name_metric,paragraph_metric,language_metric,synonym_metric,author_metric
0.8947368421052632,0.8122850656509399,,,0.545751633986928
0.7857142857142857,0.1620463877916336,0.0,,0.5982843137254902
0.78,0.16835996508598328,0.0,,0.392156862745098
0.853968253968254,0.20493319630622864,0.0,,0.46043417366946776
1.0,0.2845175862312317,1.0,,1.0
1.0,0.6777985095977783,1.0,,0.5415499533146592
0.7555555555555555,0.10494531691074371,0.0,,0.6184251478369126
0.8947368421052632,0.6551644802093506,,,0.4496434937611408
1.0,0.5461257696151733,1.0,,0.6119909502262444
0.7962962962962963,0.21008439362049103,0.0,,0.5098039215686274
1.0,0.7641987800598145,1.0,,0.5620915032679737
