id,name,doi,paragraph,authors,field/topic/keywords,url (ground truth),candidate_urls,probability_ranked
7,(STAR,10.1038/s41598-021-86032-5,"Then, the high-quality reads were aligned to the reference genome (hg19) using Spliced Transcripts Alignment to a Reference (STAR) with the parameter –quantMode GeneCounts for gene-level quantification and otherwise default parameters","Timothy Warwick,Marcel H. Schulz,Stefan Günther,Ralf Gilsbach,Antonio Neme,Carsten Carlberg,Ralf P. Brandes,Sabine Seuter","Calcitriol receptor,Transcription factor,Biology,Transcriptome,ETS1",https://github.com/alexdobin/STAR,"['https://github.com/alexdobin/STAR', 'https://cran.r-project.org/package=STARTS', 'https://cran.r-project.org/package=STAREG', 'https://cran.r-project.org/package=STAT', 'https://cran.r-project.org/package=SAR', 'https://cran.r-project.org/package=TAR']","[0.635120816864108, 0.4572456488283065, 0.4552695991461962, 0.4076463375696225, 0.3975033957729679, 0.3724921729434157]"
16,(STAR,10.3389/fphys.2020.623190,"Next, the two reads per sample (R1 and R2) were mapped to the mouse reference genome (build GRCm38/mm10) using Spliced Transcripts Alignment to a Reference (STAR version 2.6.1) (Dobin et al., 2013)","Marta Pérez-Hernández,Grecia M Marrón-Liñares,Florencia Schlamp,Adriana Heguy,Chantal J.M. van Opbergen,Valeria Mezzano,Mingliang Zhang,Feng-Xia Liang,Marina Cerrone,Mario Delmar","Transcriptome,Myocyte,Biology,Inflammation",https://github.com/alexdobin/STAR,"['https://github.com/alexdobin/STAR', 'https://cran.r-project.org/package=STAREG', 'https://cran.r-project.org/package=STAT', 'https://cran.r-project.org/package=STARTS', 'https://cran.r-project.org/package=SAR', 'https://cran.r-project.org/package=TAR']","[0.6393319834570392, 0.4456413380264319, 0.4270796922797114, 0.4258024873728039, 0.3848185928595848, 0.358293923292928]"
19,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://pypi.org/project/ABBYY/', 'https://github.com/samueltc/ABBYY', 'https://github.com/gojiplus/abbyyR', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/barcode_detection_benchmark', 'https://github.com/abbyy/RTR-SDK.Android']","[0.6081225882194661, 0.5911024445957608, 0.5637803832358784, 0.5375059412254228, 0.3905571911884853, 0.3868316448728244, 0.3467583774563707, 0.2074298355231682]"
41,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://pypi.org/project/ABBYY/', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://github.com/samueltc/ABBYY', 'https://github.com/gojiplus/abbyyR', 'https://github.com/abbyy/ocrsdk.com', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/barcode_detection_benchmark', 'https://github.com/abbyy/RTR-SDK.Android']","[0.6297522122330136, 0.6200521598480366, 0.5929279486007161, 0.5529854835404291, 0.4274261928598086, 0.3883158702804157, 0.3592874377009309, 0.2370519153277079]"
45,ABBYY,10.1109/JTEHM.2019.2935451,"Successful search rate at zoom level differed significantly between the 4 OCR engines (, df = 3, p < 0.001), with ML Kit being the most successful in detecting keywords without needing to zoom in, followed by Rekognition, Azure OCR, and ABBYY RTR","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://pypi.org/project/ABBYY/', 'https://github.com/samueltc/ABBYY', 'https://github.com/gojiplus/abbyyR', 'https://github.com/abbyy/ocrsdk.com', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/barcode_detection_benchmark', 'https://github.com/abbyy/RTR-SDK.Android']","[0.5938739637754582, 0.5931136021680302, 0.5645911554164357, 0.5386264414919748, 0.392228234509627, 0.3787647176934787, 0.3419669239756501, 0.2145795486370722]"
67,ABBYY,10.1186/s13637-017-0057-1,"Hand-writing recognition is a well-established problem and we have experimented with different resources including Omnipage Capture SDK [18], Captricity [19], and ABBYY [20], which to the best of our knowledge are among the best tools in the market for recognizing hand-written letters and have been widely used in recognizing and transforming documents into usable digital forms [21]","Jianbo Yuan,Chester Holtz,Tristram Smith,Jiebo Luo","Autism spectrum disorder,Autism,Computer science,Preprocessor,Recall,Intervention (counseling)","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://pypi.org/project/ABBYY/', 'https://github.com/samueltc/ABBYY', 'https://github.com/gojiplus/abbyyR', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/barcode_detection_benchmark', 'https://github.com/abbyy/RTR-SDK.Android']","[0.5586481376548135, 0.5518583341498696, 0.4927942556142807, 0.4369443068294613, 0.3899399687336725, 0.2803410776952902, 0.2507092630092836, 0.2014677600065867]"
80,ABBYY,10.12688/f1000research.7329.3,"We analyzed different freely available and commercial OCR systems and libraries including Aspose, PUMA, Microsoft OCR, Tesseract, LEADTOOLS, Nicomsoft OCR, MeOCR OCR, OmniPage, ABBYY, Bytescout claiming to be able to extract embedded text from figures","Zeeshan Ahmed,Thomas Dandekar","Computer science,Information retrieval,Scientific literature","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY","['https://pypi.org/project/ABBYY/', 'https://github.com/samueltc/ABBYY', 'https://github.com/dannguyen/abbyy-finereader-ocr-senate', 'https://github.com/gojiplus/abbyyR', 'https://cran.r-project.org/package=GABB', 'https://github.com/abbyy/ocrsdk.com', 'https://github.com/abbyy/barcode_detection_benchmark', 'https://github.com/abbyy/RTR-SDK.Android']","[0.5346534744561632, 0.510970783299299, 0.5106989774391493, 0.4939764394842345, 0.3838282571645656, 0.2818254636707662, 0.2716257983465786, 0.1430595954055844]"
96,BCEA,10.1371/journal.pntd.0008521,We used the BCEA package in the software R 3.6.1 for the analysis [23].,"Anuj Tiwari,David J. Blok,Mohammad Arif,Jan Hendrik Richardus","Medicine,Disability-adjusted life year,Leprosy,Per capita,Cost effectiveness,Environmental health,Cost-effectiveness analysis","https://cran.r-project.org/package=BCEA,https://gianluca.statistica.it/software/bcea/,https://github.com/giabaio/BCEA/,https://n8thangreen.github.io/BCEA/","['https://github.com/giabaio/BCEA', 'https://cran.r-project.org/package=BCEE', 'https://cran.r-project.org/package=BCEA', 'https://github.com/giabaio/BCEAweb', 'https://cran.r-project.org/package=CEDA', 'https://cran.r-project.org/package=BCRA', 'https://cran.r-project.org/package=CSESA', 'https://github.com/clippit/Paw-BCEAuthDynamicValue', 'https://github.com/InseeFrLab/formation-bceao']","[0.5710917564029367, 0.5489419610629885, 0.5421731077098221, 0.5391891215183069, 0.4425388598764974, 0.4394931029264975, 0.3519297743123569, 0.316548298401893, 0.2395833333333333]"
106,BeautifulSoup,10.1007/s12061-021-09386-3,"Our web-scraping tool based on Python and BeautifulSoup retrieved the following information: name, telephone, address, postcode, latitude, longitude, opening and closing times for each day of the week, and a list of services including Finance services","Andra Sonea,René Westerholt",Human geography,"https://pypi.org/project/beautifulsoup4/,https://www.crummy.com/software/BeautifulSoup/,https://code.launchpad.net/beautifulsoup,https://github.com/wention/BeautifulSoup7","['https://pypi.org/project/BeautifulSoup/', 'https://github.com/DeronW/beautifulsoup', 'https://github.com/wention/BeautifulSoup4', 'https://github.com/collegue1337/BeautifulSoup4', 'https://github.com/icodeu/BeautifulSoup', 'https://pypi.org/project/beautifulsoup4/', 'https://github.com/beautifulSoup/RtmpRecoder']","[0.5061982429785351, 0.485652658810496, 0.4462736165319297, 0.4374799983811329, 0.3696093922480941, 0.3554446350517017, 0.2708926232810991]"
128,BeautifulSoup,10.1038/s41597-020-00682-0,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages","Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter",Jurisdiction,"https://pypi.org/project/beautifulsoup4/,https://www.crummy.com/software/BeautifulSoup/,https://code.launchpad.net/beautifulsoup,https://github.com/wention/BeautifulSoup5","['https://pypi.org/project/BeautifulSoup/', 'https://github.com/collegue1337/BeautifulSoup4', 'https://github.com/wention/BeautifulSoup4', 'https://github.com/DeronW/beautifulsoup', 'https://github.com/icodeu/BeautifulSoup', 'https://pypi.org/project/beautifulsoup4/', 'https://github.com/beautifulSoup/RtmpRecoder']","[0.4679369711552305, 0.4591218830864409, 0.4502177997985465, 0.4418112346281608, 0.3648412488400936, 0.32252138924918, 0.2307039092717838]"
