id,name,doi,paragraph,authors,field/topic/keywords,url (ground truth),candidate_urls,probability_ranked
3,(STAR,10.1038/s41598-021-86032-5,"Then, the high-quality reads were aligned to the reference genome (hg19) using Spliced Transcripts Alignment to a Reference (STAR) with the parameter –quantMode GeneCounts for gene-level quantification and otherwise default parameters","Timothy Warwick,Marcel H. Schulz,Stefan Günther,Ralf Gilsbach,Antonio Neme,Carsten Carlberg,Ralf P. Brandes,Sabine Seuter","Calcitriol receptor,Transcription factor,Biology,Transcriptome,ETS1",https://github.com/alexdobin/STAR,"https://github.com/alexdobin/STAR,https://cran.r-project.org/package=STARTS,https://cran.r-project.org/package=STAREG,https://cran.r-project.org/package=STAT,https://cran.r-project.org/package=TAR,https://cran.r-project.org/package=SAR","0.3893604874610901,0.1495997309684753,0.0976304560899734,-0.011705232784152,-0.0124323777854442,-0.0279266908764839"
9,(STAR,10.3389/fphys.2020.623190,"Next, the two reads per sample (R1 and R2) were mapped to the mouse reference genome (build GRCm38/mm10) using Spliced Transcripts Alignment to a Reference (STAR version 2.6.1) (Dobin et al., 2013)","Marta Pérez-Hernández,Grecia M Marrón-Liñares,Florencia Schlamp,Adriana Heguy,Chantal J.M. van Opbergen,Valeria Mezzano,Mingliang Zhang,Feng-Xia Liang,Marina Cerrone,Mario Delmar","Transcriptome,Myocyte,Biology,Inflammation",https://github.com/alexdobin/STAR,"https://github.com/alexdobin/STAR,https://cran.r-project.org/package=STAT,https://cran.r-project.org/package=STAREG,https://cran.r-project.org/package=STARTS,https://cran.r-project.org/package=SAR,https://cran.r-project.org/package=TAR","0.4818571209907532,0.0522216595709323,0.0394633151590824,0.0380652472376823,0.0262870229780673,-0.0771592184901237"
16,ABBYY,10.1109/JTEHM.2019.2935451,"A 4-sample test for equality of proportions showed that the overall successful search rate differed significantly between the OCR engines (, df = 3, p < 0.001), with ML Kit and Rekognition having a significantly higher overall success rate than Azure OCR and ABBYY RTR (p < 0.001 for all multiple pairwise comparison with Bonferroni correction)","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY","https://github.com/dannguyen/abbyy-finereader-ocr-senate,https://pypi.org/project/ABBYY/,https://github.com/gojiplus/abbyyR,https://github.com/samueltc/ABBYY,https://github.com/abbyy/barcode_detection_benchmark,https://cran.r-project.org/package=GABB,https://github.com/abbyy/RTR-SDK.Android,https://github.com/abbyy/ocrsdk.com","0.446317195892334,0.3763647675514221,0.3422222222222222,0.3194328844547272,0.2534595727920532,0.1415480971336364,0.0,0.0"
24,ABBYY,10.1109/JTEHM.2019.2935451,"Four different OCR Engines that can be implemented via an API were evaluated to determine the accuracy and usability of each engine: Google Machine Learning Kit (ML Kit) [26], Microsoft Azure’s Cognitive Services (Azure OCR) [27], ABBYY’s Real Time Recognition SDK (ABBY RTR) [28], and Amazon’s Rekognition SDK (Rekognition) [29]","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY","https://github.com/dannguyen/abbyy-finereader-ocr-senate,https://pypi.org/project/ABBYY/,https://github.com/gojiplus/abbyyR,https://github.com/samueltc/ABBYY,https://github.com/abbyy/barcode_detection_benchmark,https://cran.r-project.org/package=GABB,https://github.com/abbyy/RTR-SDK.Android,https://github.com/abbyy/ocrsdk.com","0.446317195892334,0.3763647675514221,0.3422222222222222,0.3194328844547272,0.2622159123420715,0.132582813501358,0.0,0.0"
32,ABBYY,10.1109/JTEHM.2019.2935451,"Successful search rate at zoom level differed significantly between the 4 OCR engines (, df = 3, p < 0.001), with ML Kit being the most successful in detecting keywords without needing to zoom in, followed by Rekognition, Azure OCR, and ABBYY RTR","Shrinivas Pundlik,Anikait Singh,Gautam Baghel,Vilte Baliutaviciute,Gang Luo","Computer science,Computer vision,Visual search,Mobile device,Optical character recognition,Information retrieval,Reading (process)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY","https://github.com/dannguyen/abbyy-finereader-ocr-senate,https://pypi.org/project/ABBYY/,https://github.com/gojiplus/abbyyR,https://github.com/samueltc/ABBYY,https://github.com/abbyy/barcode_detection_benchmark,https://cran.r-project.org/package=GABB,https://github.com/abbyy/RTR-SDK.Android,https://github.com/abbyy/ocrsdk.com","0.446317195892334,0.3763647675514221,0.3422222222222222,0.3194328844547272,0.2342937588691711,0.0943782031536102,0.0,0.0"
41,ABBYY,10.1186/s13637-017-0057-1,"Hand-writing recognition is a well-established problem and we have experimented with different resources including Omnipage Capture SDK [18], Captricity [19], and ABBYY [20], which to the best of our knowledge are among the best tools in the market for recognizing hand-written letters and have been widely used in recognizing and transforming documents into usable digital forms [21]","Jianbo Yuan,Chester Holtz,Tristram Smith,Jiebo Luo","Autism spectrum disorder,Autism,Computer science,Preprocessor,Recall,Intervention (counseling)","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY","https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY,https://cran.r-project.org/package=GABB,https://github.com/dannguyen/abbyy-finereader-ocr-senate,https://github.com/gojiplus/abbyyR,https://github.com/abbyy/barcode_detection_benchmark,https://github.com/abbyy/RTR-SDK.Android,https://github.com/abbyy/ocrsdk.com","0.1215029880404472,0.1205334290862083,0.0803230106830596,0.0743260830640792,0.0629557371139526,0.0219390261918306,0.0,0.0"
46,ABBYY,10.12688/f1000research.7329.3,"We analyzed different freely available and commercial OCR systems and libraries including Aspose, PUMA, Microsoft OCR, Tesseract, LEADTOOLS, Nicomsoft OCR, MeOCR OCR, OmniPage, ABBYY, Bytescout claiming to be able to extract embedded text from figures","Zeeshan Ahmed,Thomas Dandekar","Computer science,Information retrieval,Scientific literature","https://pypi.org/project/ABBYY/, https://github.com/samueltc/ABBYY","https://github.com/gojiplus/abbyyR,https://github.com/dannguyen/abbyy-finereader-ocr-senate,https://cran.r-project.org/package=GABB,https://pypi.org/project/ABBYY/,https://github.com/samueltc/ABBYY,https://github.com/abbyy/barcode_detection_benchmark,https://github.com/abbyy/RTR-SDK.Android,https://github.com/abbyy/ocrsdk.com","0.2098963856697082,0.1948747783899307,0.1725862920284271,0.1655816584825515,0.1146111935377121,0.0435660332441329,0.0,0.0"
61,BCEA,10.1371/journal.pntd.0008521,We used the BCEA package in the software R 3.6.1 for the analysis [23].,"Anuj Tiwari,David J. Blok,Mohammad Arif,Jan Hendrik Richardus","Medicine,Disability-adjusted life year,Leprosy,Per capita,Cost effectiveness,Environmental health,Cost-effectiveness analysis","https://cran.r-project.org/package=BCEA, https://github.com/giabaio/BCEA/, https://github.com/cran/BCEA","https://github.com/InseeFrLab/formation-bceao,https://github.com/giabaio/BCEAweb,https://github.com/giabaio/BCEA/,https://github.com/cran/BCEA,https://cran.r-project.org/package=BCRA,https://cran.r-project.org/package=CEDA,https://cran.r-project.org/package=BCEE,https://cran.r-project.org/package=BCEA,https://github.com/clippit/Paw-BCEAuthDynamicValue","0.4388888888888889,0.3110298812389374,0.2505338788032532,0.1934431791305542,0.1888412237167358,0.0922105461359024,0.0815682858228683,0.0217868443578481,-0.0042661800980567"
71,BeautifulSoup,10.1007/s12061-021-09386-3,"Our web-scraping tool based on Python and BeautifulSoup retrieved the following information: name, telephone, address, postcode, latitude, longitude, opening and closing times for each day of the week, and a list of services including Finance services","Andra Sonea,René Westerholt",Human geography,"https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup7","https://pypi.org/project/beautifulsoup4/,https://github.com/beautifulSoup/RtmpRecoder,https://github.com/DeronW/beautifulsoup,https://github.com/collegue1337/BeautifulSoup4,https://github.com/icodeu/BeautifulSoup,https://github.com/wention/BeautifulSoup4,https://pypi.org/project/BeautifulSoup/","0.0353534035384655,0.0,-0.0154372006654739,-0.0173542890697717,-0.019705805927515,-0.0358493290841579,-0.0773422718048095"
91,BeautifulSoup,10.1038/s41597-020-00682-0,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages","Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter",Jurisdiction,"https://pypi.org/project/beautifulsoup4/, https://github.com/wention/BeautifulSoup5","https://github.com/beautifulSoup/RtmpRecoder,https://pypi.org/project/beautifulsoup4/,https://pypi.org/project/BeautifulSoup/,https://github.com/wention/BeautifulSoup4,https://github.com/icodeu/BeautifulSoup,https://github.com/DeronW/beautifulsoup,https://github.com/collegue1337/BeautifulSoup4","0.0,-0.0019681416451931,-0.0346249118447303,-0.0429335348308086,-0.043285921216011,-0.0440529510378837,-0.0709482878446579"
